18,35,34,79,73,33,71,24,48,54
24,28,3,33,73,34,12,48,32,62
41,69,35,6,24,23,57,60,48,59
21,69,10,24,6,15,55,31,80,22
10,45,78,27,11,67,20,47,49,37
38,49,77,4,79,33,28,69,62,35
12,28,36,41,49,24,20,59,77,56
57,6,54,16,65,35,70,0,10,31
63,38,5,51,79,47,27,45,40,9
62,69,41,0,4,6,18,65,13,59
77,61,68,57,58,38,32,60,25,67
12,24,6,66,36,31,3,61,68,17
8,7,29,48,21,32,9,13,10,16
68,62,70,39,23,35,0,17,79,2
75,1,66,77,7,60,54,72,14,25
55,27,11,37,73,42,10,60,45,16
76,51,24,71,38,4,79,57,21,19
11,23,12,80,30,43,47,67,66,77
46,41,19,16,14,13,57,40,51,77
9,56,11,68,32,24,67,65,43,22
49,48,30,78,12,8,34,6,9,77
73,8,39,71,44,25,15,56,20,68
26,16,21,53,1,62,44,41,32,4
19,8,47,38,25,51,3,11,34,12
52,43,30,40,39,42,72,36,26,34
49,5,77,62,59,13,72,63,33,51
4,40,17,47,2,39,61,79,7,5
62,74,34,75,78,47,18,46,48,80
52,43,70,0,60,19,72,38,29,12
20,73,49,77,3,32,53,54,52,29
72,62,44,5,32,33,4,0,27,43
55,38,34,15,33,20,10,62,32,8
6,1,65,60,23,56,30,27,61,5
70,8,30,80,71,10,19,22,69,26
77,6,70,19,9,17,78,31,34,75
53,15,34,38,24,49,47,67,13,52
36,58,37,38,3,16,80,19,21,32
26,54,60,33,34,80,39,10,11,36
23,15,80,20,8,64,72,71,44,62
56,34,27,74,41,35,51,46,0,39
20,4,27,28,48,76,8,61,72,41
15,57,6,2,78,25,14,63,21,38
15,38,28,66,13,12,64,3,10,32
6,38,71,1,5,16,34,33,13,7
5,43,78,76,6,46,58,16,61,63
29,71,39,61,51,2,36,79,26,32
62,2,47,7,42,78,17,14,5,41
24,25,41,59,70,14,45,35,77,20
6,75,55,79,71,57,45,37,63,3
6,65,26,55,51,29,72,36,67,40
70,68,58,27,3,29,64,43,45,53
74,41,22,14,26,31,64,80,61,1
18,57,64,69,66,60,52,37,4,62
47,77,54,46,26,0,43,62,42,80
54,56,28,45,62,38,25,1,42,12
11,59,80,49,9,72,3,16,24,68
26,67,38,8,65,52,1,79,54,31
14,35,16,23,40,77,13,9,57,39
75,22,15,24,5,70,9,48,41,0
60,14,58,19,6,78,15,18,75,9
52,66,80,38,32,36,76,10,35,58
28,35,21,18,1,5,9,7,41,2
4,44,57,40,21,18,8,51,30,12
15,13,79,0,32,59,34,21,18,69
38,69,18,12,75,54,78,43,28,10
73,2,63,18,61,22,51,46,36,64
52,41,29,60,23,80,78,68,12,46
38,52,73,43,42,48,15,46,64,39
0,38,43,59,31,16,69,1,24,52
3,55,16,56,63,53,69,0,8,40
8,66,49,12,57,25,73,9,68,23
1,59,3,45,31,29,32,9,65,14
77,62,42,54,12,63,30,1,35,53
42,14,67,54,30,78,55,80,35,1
71,66,73,42,60,44,16,8,63,23
2,61,43,8,33,45,68,30,39,31
10,43,25,46,48,54,30,78,24,55
42,3,77,74,21,43,72,62,45,35
67,20,57,71,58,42,68,38,79,46
78,26,17,58,80,19,55,13,60,6
36,30,80,72,26,12,52,20,10,69
12,11,22,73,20,47,19,33,31,76
11,65,52,9,66,33,56,26,1,62
